id,year,authors,title
1,1987,"Hisashi Suzuki, Suguru Arimoto",Self-Organization of Associative Database and Its Applications
2,1987,Philip A. Chou,The Capacity of the Kanerva Associative Memory is Exponential
3,1987,"Eric B. Baum, Frank Wilczek",Supervised Learning of Probability Distributions by Neural Networks
4,1987,"John C. Platt, Alan H. Barr",Constrained Differential Optimization
5,1987,Ralph Linsker,Towards an Organizing Principle for a Layered Perceptual Network
6,1987,"Gene A. Tagliarini, Edward W. Page",A Neural-Network Solution to the Concentrator Assignment Problem
7,1987,"Ken Hsu, David Brady, Demetri Psaltis",Experimental Demonstrations of Optical Neural Computers
8,1987,Frank H. Eeckman,The Sigmoid Nonlinearity in Prepyriform Cortex
9,1987,Amir F. Atiya,Learning on a General Network
10,1987,Christopher L. Scofield,A Mean Field Theory of Layer IV of Visual Cortex and Its Application to Artificial Neural Networks
11,1987,"Stuart Mackie, Hans Peter Graf, Daniel B. Schwartz, John S. Denker",Microelectronic Implementations of Connectionist Neural Networks
12,1987,Manoel Fernando Tenorio,Using Neural Networks to Improve Cochlear Implant Speech Perception
13,1987,Paolo Gaudiano,Temporal Patterns of Activity in Neural Networks
14,1987,"C. Lee Giles, R. D. Griffin, T. Maxwell",Encoding Geometric Invariances in Higher-Order Neural Networks
15,1987,Eberhard E. Fetz,Correlational Strength and Computational Algebra of Synaptic Connections Between Neurons
16,1987,"John S. Denker, Ben S. Wittner","Network Generality, Training Required, and Precision Required"
17,1987,"Tomaso A. Poggio, Anya C. Hurlbert",Learning a Color Algorithm from Examples
18,1987,"Alexander Moopenn, H. Langenbacher, A. P. Thakoor, S. K. Khanna",Programmable Synaptic Chip for Electronic Neural Networks
19,1987,Harrison MonFook Leong,Optimization with Artificial Neural Network Systems: A Mapping Principle and a Comparison to Gradient Based Methods
20,1987,"Les E. Atlas, Toshiteru Homma, Robert J. Marks II",An Artificial Neural Network for Spatio-Temporal Bipolar Patterns: Application to Phoneme Classification
21,1987,"Christopher L. Scofield, Douglas L. Reilly, Charles Elbaum, Leon N. Cooper",PATTERN CLASS DEGENERACY IN AN UNRESTRICTED STORAGE DENSITY MEMORY
22,1987,"Darryl D. Coon, A. G. Unil Perera",New Hardware for Massive Neural Networks
23,1987,"Alexander Singer, John P. Donoghue",A Computer Simulation of Cerebral Neocortex: Computational Capabilities of Nonlinear Neural Networks
24,1987,"James M. Bower, Amir F. Atiya",Optimal Neural Spike Classification
25,1987,"Christof Koch, Jin Luo, Carver Mead, James Hutchinson",Computing Motion Using Resistive Networks
26,1987,"William Y. Huang, Richard P. Lippmann",Neural Net and Traditional Classifiers
27,1987,"Alan F. Murray, Anthony V. W. Smith, Zoe F. Butler",Bit-Serial Neural Networks
28,1987,Manuel F. Fern?ndez,On Tropistic Processing and Its Applications
29,1987,"Charles M. Marcus, R. M. Westervelt",Basins of Attraction for Electronic Neural Networks
30,1987,"Gerald Tesauro, Terrence J. Sejnowski",A 'Neural' Network that Learns to Play Backgammon
31,1987,Joshua Chover,Phase Transitions in Neural Networks
32,1987,"Jacques J. Vidal, John Haggerty",Synchronization in Neural Nets
33,1987,"Bruce E. Rosen, James M. Goodwin, Jacques J. Vidal",LEARNING BY STATE RECURRENCE DETECTION
34,1987,"James M. Bower, Matthew A. Wilson",A Computer Simulation of Olfactory Cortex with Functional Implications for Storage and Retrieval of Olfactory Information
35,1987,Sherryl Tomboulian,Introduction to a System for Implementing Neural Net Connections on SIMD Architectures
36,1987,"Anthony N. Michel, Jay A. Farrell, Wolfgang Porod",Stability Results for Neural Networks
37,1987,"Ronald H. Silverman, Andrew S. Noetzel",Time-Sequential Self-Organization of Hierarchical Neural Networks
38,1987,"Clifford Lau, Vicente Honrubia",Distributed Neural Information Processing in the Vestibulo-Ocular System
